KODA;SLOVENSKI NAZIV;ANGLEŠKI NAZIV
Q66.3;Druge prirojene deformacije varus nog;Other congenital varus deformities of feet
Q66.4;Talipes calcaneovalgus;Talipes calcaneovalgus
Q66.5;Prirojena ploska noga (pes planus);Congenital pes planus
Q66.6;Druge prirojene deformacije valgus nog;Other congenital valgus deformities of feet
Q66.7;Pes cavus;Pes cavus
Q66.8;Druge prirojene deformacije nog;Other congenital deformities of feet
Q66.81;Druge priorjene anomalije nog, krempljasti prsti;Other congenital deformities of feet, clawfoot
Q66.89;Druge prirojene deformacije nog;Other congenital deformities of feet
Q66.9;Prirojena deformacija noge, neopredeljena;Congenital deformity of feet, unspecified
Q67;Prirojene mišičnoskeletne deformacije glave, obraza, hrbtenice in prsnega koša;Congenital musculoskeletal deformities of head, face, spine and chest
Q67.0;Asimetrija obraza;Facial asymmetry
Q67.1;Potlačeni obraz;Compression facies
Q67.2;Dolihocefalija;Dolichocephaly
Q67.3;Plagiocefalija;Plagiocephaly
Q67.4;Druge prirojene deformacije lobanje, obraza in čeljusti;Other congenital deformities of skull, face and jaw
Q67.41;Udrtine lobanje;Depressions in skull
Q67.42;Prirojena deviacija nosnega pretina;Deviation of nasal septum, congenital
Q67.49;Druge prirojene deformacije lobanje, obraza in čeljusti;Other congenital deformities of skull, face and jaw
Q67.5;Prirojene deformacije hrbtenice;Congenital deformity of spine
Q67.51;Prirojena skolioza, posturalna;Congenital scoliosis, postural
Q67.52;Prirojena postrualna krivina hrbtenice;Congenital postural curvature of spine
Q67.59;Druge opredeljene prirojene nepravilnosti hrbtenice;Other specified congenital deformity of spine
Q67.6;Pectus excavatum;Pectus excavatum
Q67.7;Pectus carinatum;Pectus carinatum
Q67.8;Druge prirojene deformacije prsnega koša;Other congenital deformities of chest
Q68;Druge prirojene deformacije mišičja in okostja;Other congenital musculoskeletal deformities
Q68.0;Prirojena deformacija sternokleidomastoidne mišice;Congenital deformity of sternocleidomastoid muscle
Q68.1;Prirojena deformacija roke;Congenital deformity of hand
Q68.2;Prirojena deformacija kolena;Congenital deformity of knee
Q68.3;Prirojena ukrivljenost stegnenice;Congenital bowing of femur
Q68.4;Prirojena ukrivljenost golenice in mečnice;Congenital bowing of tibia and fibula
Q68.5;Prirojena ukrivljenost dolgih kosti spodnjega uda, neopredeljena;Congenital bowing of long bones of leg, unspecified
Q68.8;Druge opredeljene prirojene deformacije mišičja in okostja;Other specified congenital musculoskeletal deformities
Q69;Polidaktilija;Polydactyly
Q69.0;Dodatni (nadštevilni) prst(-i);Accessory finger(s)
Q69.1;Dodatni(-a) palec(-lca);Accessory thumb(s)
Q69.2;Dodatni(-a) palec(-lca) noge;Accessory toe(s)
Q69.21;Nadštevilni palec;Accessory hallux [halluces]
Q69.29;Nadštevilni prsti;Other accessory toe(s)
Q69.9;Polidaktilija, neopredeljena;Polydactyly, unspecified
Q70;Sindaktilija;Syndactyly
Q70.0;Zraščeni prsti;Fused fingers
Q70.1;S kožico zrasli prsti;Webbed fingers
Q70.2;Zrasli prsti na nogah;Fused toes
Q70.3;S kožico zrasli prsti na nogah;Webbed toes
Q70.4;Polisindaktilija;Polysyndactyly
Q70.9;Sindaktilija, neopredeljena;Syndactyly, unspecified
Q71;Napake z zmanjšanjem (redukcijski defekti) zgornjega uda;Reduction defects of upper limb
Q71.0;Prirojena popolna odsotnost zgornjega uda;Congenital complete absence of upper limb(s)
Q71.1;Prirojena odsotnost nadlahti in podlahti s prisotnostjo roke;Congenital absence of upper arm and forearm with hand present
Q71.2;Prirojena odsotnost podlahti in roke;Congenital absence of both forearm and hand
Q71.3;Prirojena odsotnost roke in prsta(-ov);Congenital absence of hand and finger(s)
Q71.31;Prirojena odsotnost prsta (-ov) brez drugih nepravilnosti noge;Congenital absence of finger(s) with remainder of hand intact
Q71.32;Prirojena odsotnost palca brez drugih nepravilnosti prstov;Congenital absence of thumb with all other digits intact
Q71.33;Prirojena odsotnost roke in prsta (-ov);Congenital absence of hand and finger(s)
Q71.4;Skrajšava koželjnice (radiusa);Longitudinal reduction defect of radius
Q71.5;Skrajšava podlahtnice (ulne);Longitudinal reduction defect of ulna
Q71.6;Roka v obliki rakovih klešč;Lobster-claw hand
Q71.8;Druge napake z zmanjšanjem zgornjega uda (zgornjih udov);Other reduction defects of upper limb(s)
Q71.9;Skrajšava zgornjega uda, neopredeljena;Reduction defect of upper limb, unspecified
Q72;Napake z zmanjšanjem (redukcijski defekti) spodnjega uda;Reduction defects of lower limb
Q72.0;Prirojena popolna odsotnost spodnjega uda (spodnjih udov);Congenital complete absence of lower limb(s)
Q72.1;Prirojena odsotnost stegna in goleni s prisotnostjo noge;Congenital absence of thigh and lower leg with foot present
Q72.2;Prirojena odsotnost spodnjega uda in noge;Congenital absence of both lower leg and foot
Q72.3;Prirojena odsotnost noge in prsta(-ov);Congenital absence of foot and toe(s)
Q72.31;Prirojena odsotnost palca(-ov) brez drugih nepravilnosti noge ;Congenital absence of toe(s) with remainder of foot intact
Q72.32;Prirojena odsotnost kazalca brez drugih nepravilnosti prstov;Congenital absence of first toe with all other digits intact
Q72.33;Prirojena odsotnost noge ali prsta (-ov);Congenital absence of foot and toe(s)
Q72.4;Skrajšava stegnenice;Longitudinal reduction defect of femur
Q72.5;Skrajšava golenice (prirojeno nerazvita golenica);Longitudinal reduction defect of tibia
Q72.6;Skrajšava mečnice (prirojeno nerazvita mečnica);Longitudinal reduction defect of fibula
Q72.7;Razcepljeno stopalo;Split foot
Q72.8;Druge napake z zmanjšanjem spodnjega uda (spodnjih udov);Other reduction defects of lower limb(s)
Q72.9;Skrajšava spodnjega uda, neopredeljena;Reduction defect of lower limb, unspecified
Q73;Napake z zmanjšanjem (redukcijski defekti) neopredeljenega(-ih) uda(-ov);Reduction defects of unspecified limb
Q73.0;Prirojena odsotnost neopredeljenega(-ih) uda(-ov);Congenital absence of unspecified limb(s)
Q73.1;Fokomelija, neopredeljenega(-ih) uda(-ov);Phocomelia, unspecified limb(s)
Q73.8;Druge napake z zmanjšanjem neopredeljenega(-ih) uda(-ov);Other reduction defects of unspecified limb(s)
Q73.80;Napake z zmanjšanjem neopredeljenega(-ih) uda(-ov), neopredeljeno;Reduction defects of unspecified limb(s), unspecified
Q73.89;Druge napake z zmanjšanjem neopredeljenega(-ih) uda(-ov);Other reduction defects of unspecified limb(s)
Q74;Druge prirojene malformacije uda(-ov);Other congenital malformations of limb(s)
Q74.0;Druge prirojene malformacije zgornjega(-ih) uda(-ov), vključno z ramenskim obročem;Other congenital malformations of upper limb(s), including shoulder girdle
Q74.01;Dodatne kosti zapestja;Accessory carpal bones
Q74.02;Makrodaktilija (prstov);Macrodactylia (fingers)
Q74.03;Palec s tremi falangami;Triphalangeal thumb
Q74.04;Radioulnarna sinostoza;Radioulnar synostosis
Q74.05;Humeroulnarna sinostoza;Humeroulnar synostosis
Q74.06;Humeroradialna sinostoza;Humeroradial synostosis
Q74.07;Razcepljen prst (-i) zgornje okončine;Bifid digit(s) of upper limb
Q74.08;Sprengelova deformacija;Sprengel's deformity
Q74.09;Druge prirojene nepravilnosti zgornje (-ih) okončine (-/), vključno z ramenskim obročem;Other congenital malformations of upper limb(s), including shoulder girdle
Q74.1;Prirojena malformacija kolena;Congenital malformation of knee
Q74.2;Druge prirojene malformacije spodnjega(-ih) uda(-ov), vključno z medeničnim obročem;Other congenital malformations of lower limb(s), including pelvic girdle
Q74.3;Arthrogryposis multiplex congenita;Arthrogryposis multiplex congenita
Q74.8;Druge opredeljene prirojene malformacije uda(-ov);Other specified congenital malformations of limb(s)
Q74.81;Brahidaktilija;Brachydactyly
Q74.82;Prirojena prekomerna rast okončin (-e);Congenital overgrowth of limb(s)
Q74.83;Prirojena nezadostna rast okončin (-e);Congenital undergrowth of limb(s)
Q74.84;Prirojena nesimetričnost okončin;Congenital limb asymmetry
Q74.85;Larsenov sindrom;Larsen's syndrome
Q74.89;Druge opredeljene nepravilnosti okončin (-e);Other specified congenital malformations of limb(s)
Q74.9;Neopredeljena prirojena malformacija uda(-ov);Unspecified congenital malformation of limb(s)
Q75;Druge prirojene malformacije lobanjskih in obraznih kosti;Other congenital malformations of skull and face bones
Q75.0;Kraniosinostoza;Craniosynostosis
Q75.01;Koronalna kraniosinostoza;Coronal craniosynostosis
Q75.02;Sagitalna kraniosinostoza;Sagittal craniosynostosis
Q75.03;Trigonocefalija;Trigonocephaly
Q75.04;Kraniosinostozadrugih številnih lobanjskih šivov;Craniosynostosis of other multiple sutures
Q75.05;Pfeifferjev sindrom;Pfeiffer syndrome
Q75.06;Dysrafični sindrom;Clover leaf skull
Q75.09;Druge in neopredeljene kraniosinostoze;Other and unspecified craniosynostosis
Q75.1;Kraniofacialna disostoza;Craniofacial dysostosis
Q75.2;Hipertelorizem;Hypertelorism
Q75.3;Makrocefalija;Macrocephaly
Q75.31;Družinska (benigna) makrocefalija;Familial (benign) macrocephaly
Q75.39;Druge in neopredeljene makrocefalije;Other and unspecified macrocephaly
Q75.4;Mandibulofacialna disostoza;Mandibulofacial dysostosis
Q75.5;Okulomandibularna disostoza;Oculomandibular dysostosis
Q75.8;Druge opredeljene prirojene malformacije lobanjskih in obraznih kosti;Other specified congenital malformations of skull and face bones
Q75.81;Frontonazalna displazija;Frontonasal dysplasia
Q75.89;Druge opredeljene prirojene nepravilnosti lobanje in obraznih kosti;Other specified congenital malformations of skull and face bones
Q75.9;Prirojena malformacije lobanjskih in obraznih kosti, neopredeljena;Congenital malformation of skull and face bones, unspecified
Q76;Prirojene malformacije hrbtenice in kosti prsnega koša;Congenital malformations of spine and bony thorax
Q76.0;Spina bifida occulta (skrita);Spina bifida occulta
Q76.1;Klippel-Feilov sindrom;Klippel-Feil syndrome
Q76.2;Prirojena spondilolisteza;Congenital spondylolisthesis and spondylolysis
Q76.21;Prirojena spondilolisteza;Congenital spondylolisthesis
Q76.22;Prirojena spondiloliza;Congenital spondylolysis
Q76.3;Prirojena skolioza zaradi prirojene malformacije kosti;Congenital scoliosis due to congenital bony malformation
Q76.31;Enojna hemivertebra s kongenitalno skoliozo;Single hemivertebra with congenital scoliosis
Q76.39;Prirojena skoliozazaradi drugih opredeljenih prirojenih kostnih nepravilnosti;Congenital scoliosis due to other specified congenital bony malformation
Q76.4;Druge prirojene malformacije hrbtenice, ki niso povezane s skoliozo;Other congenital malformations of spine, not associated with scoliosis
Q76.41;Prirojena odsotnost vretenca;Congenital absence of vertebra(e)
Q76.42;Prirojene nepravilnosti križnega (-ih) vretenc(-a);Congenital anomalies of sacral vertebra(e)
Q76.43;Prirojene nepravilnosti drugega (-ih) vretenc (-a);Congenital anomalies of other vertebra(e)
Q76.44;Prirojena posturalna lordoza;Congenital lordosis, postural
Q76.45;Hemivertebra;Hemivertebra
Q76.49;Druge prirojene nepravilnosti hrbtenice;Other congenital malformation of spine
Q76.5;Vratno rebro;Cervical rib
Q76.6;Druge prirojene malformacije reber;Other congenital malformations of ribs
Q76.61;Prirojena odsotnost rebra;Congenital absence of rib
Q76.62;Prirojena zraščenost reber;Congenital fusion of ribs
Q76.63;Dodatno rebro;Accessory rib
Q76.69;Druge prirojene nepravilnosti reber;Other congenital malformation of ribs
Q76.7;Prirojena malformacija prsnice;Congenital malformation of sternum
Q76.71;Prirojena odsotnost prsnice;Congenital absence of sternum
Q76.72;Sternum bifidum;Sternum bifidum
Q76.79;Druge opredeljene nepravilnosti prsnice;Other specified congenital malformation of sternum
Q76.8;Druge prirojene malformacije kosti prsnega koša;Other congenital malformations of bony thorax
Q76.9;Prirojena malformacija kosti prsnega koša, neopredeljena;Congenital malformation of bony thorax, unspecified
Q77;Osteohondrodisplazija z nepravilno rastjo cevastih kosti in hrbtenice;Osteochondrodysplasia with defects of growth of tubular bones and spine
Q77.0;Ahondrogeneza;Achondrogenesis
Q77.00;Ahondrogeneza, neopredeljena;Achondrogenesis, unspecified
Q77.01;Ahondrogeneza, tip I;Achondrogenesis, type I
Q77.02;Ahondrogeneza, tip II;Achondrogenesis, type II
Q77.03;Hipohondrogeneza;Hypochondrogenesis
Q77.09;Druge ahondrogeneze;Other achondrogenesis
Q77.1;Tanatoforna pritlikavost;Thanatophoric short stature
Q77.2;Sindrom kratkih reber;Short rib syndrome
Q77.3;Chondrodysplasia punctata;Chondrodysplasia punctata
Q77.4;Ahondroplazija;Achondroplasia
Q77.5;Diastrofična displazija;Dystrophic dysplasia
Q77.6;Hondroektodermalna displazija;Chondroectodermal dysplasia
Q77.7;Spondiloepifizna displazija;Spondyloepiphyseal dysplasia
Q77.8;Druge vrste osteohondrodisplazija z nepravilno rastjo cevastih kosti in hrbtenice;Other osteochondrodysplasia with defects of growth of tubular bones and spine
Q77.81;Metatrofična pritlikavost;Metatropic dwarfism
Q77.82;Metafizealna hondrodisplazija;Metaphyseal chondroplasia
Q77.89;Druge osteohondrodisplazije z nepravilno rastjo cevastih kosti in hrbtenice;Other osteochondrodysplasia with defects of growth of tubular bones and spine
Q77.9;Osteohondrodisplazija z nepravilno rastjo cevastih kosti in hrbtenice, neopredeljena;Osteochondrodysplasia with defects of growth of tubular bones and spine, unspecified
Q78;Druge osteohondrodisplazije;Other osteochondrodysplasias
Q78.0;Osteogenesis imperfecta;Osteogenesis imperfecta
Q78.1;Poliostotična fibrozna displazija;Polyostotic fibrous dysplasia
Q78.2;Osteopetroza;Osteopetrosis
Q78.3;Napredujoča diafizna displazija;Progressive diaphyseal dysplasia
Q78.4;Enhondromatoza;Enchondromatosis
Q78.5;Metafizna displazija;Metaphyseal dysplasia
Q78.6;Multiple prirojene eksostoze;Multiple congenital exostoses
Q78.8;Druge opredeljene osteohondrodisplazije;Other specified osteochondrodysplasias
Q78.9;Osteohondrodisplazija, neopredeljena;Osteochondrodysplasia, unspecified
Q79;Prirojene malformacije mišičnoskeletnega sistema, ki niso uvrščene drugje;Congenital malformations of the musculoskeletal system, not elsewhere classified
Q79.0;Prirojena diafragemska hernija;Congenital diaphragmatic hernia
Q79.1;Druge prirojene malformacije prepone (diafragme);Other congenital malformations of diaphragm
Q79.2;Eksomfalos;Exomphalos
Q79.3;Gastroshiza;Gastroschisis
Q79.4;Sindrom slivasto oblikovanega trebuha (prune belly);Prune belly syndrome
Q79.5;Druge prirojene malformacije trebušne stene;Other congenital malformations of abdominal wall
Q79.6;Ehlers-Danlosov sindrom;Ehlers-Danlos syndrome
Q79.8;Druge prirojene malformacije mišičnoskeletnega sistema;Other congenital malformations of musculoskeletal system
Q79.9;Prirojena malformacija mišičnoskeletnega sistema, neopredeljena;Congenital malformation of musculoskeletal system, unspecified
Q80;Prirojena ihtioza;Congenital ichthyosis
Q80.0;Ichthyosis vulgaris;Ichthyosis vulgaris
